Composition: 65% KNO3 / 35% sugar | r=6.29 mol | K2CO3 yield = 44.4 wt% | dTad = 1300 K | Tad = 1598 K
step   time[s]  Tmax[K]  Tvent[K]  K2CO3[kg]  Uvent[m/s]  meanYfu  SMAX
  212    0.212   1502.5   1287.3  5.946e-05  6.417e-01  0.8964  2.77e-07
  213    0.213   1500.9   1286.2  5.972e-05  6.410e-01  0.8959  2.31e-07
  214    0.214   1499.0   1285.0  6.006e-05  6.415e-01  0.8953  2.00e-07
  215    0.215   1497.0   1283.9  6.037e-05  6.417e-01  0.8947  1.40e-07
  216    0.216   1494.8   1282.8  6.073e-05  6.433e-01  0.8941  1.09e-07
  217    0.217   1492.6   1281.7  6.116e-05  6.459e-01  0.8934  4.53e-08
  218    0.218   1491.4   1280.7  6.161e-05  6.483e-01  0.8927  3.57e-08
  219    0.219   1491.6   1279.6  6.195e-05  6.487e-01  0.8920  8.49e-08
  220    0.220   1491.0   1278.5  6.227e-05  6.492e-01  0.8914  5.63e-08
  221    0.221   1496.0   1277.4  6.265e-05  6.512e-01  0.8908  3.76e-08
  222    0.222   1507.7   1276.4  6.312e-05  6.546e-01  0.8900  7.35e-08
  223    0.223   1513.4   1275.3  6.355e-05  6.571e-01  0.8893  1.40e-07
  224    0.224   1515.2   1274.3  6.407e-05  6.611e-01  0.8885  1.61e-07
  225    0.225   1514.4   1273.2  6.445e-05  6.627e-01  0.8879  2.19e-07
  226    0.226   1512.3   1272.2  6.477e-05  6.637e-01  0.8873  1.86e-07
  227    0.227   1510.7   1271.2  6.510e-05  6.655e-01  0.8866  1.43e-07
  228    0.228   1509.1   1270.1  6.555e-05  6.696e-01  0.8859  1.39e-07
  229    0.229   1509.2   1269.1  6.616e-05  6.756e-01  0.8850  2.09e-07
  230    0.230   1508.9   1268.1  6.663e-05  6.783e-01  0.8842  3.13e-07
  231    0.231   1508.7   1267.1  6.692e-05  6.778e-01  0.8836  2.82e-07
  232    0.232   1508.3   1266.1  6.711e-05  6.758e-01  0.8831  1.67e-07
  233    0.233   1507.7   1265.1  6.725e-05  6.730e-01  0.8826  3.78e-08
  234    0.234   1507.5   1264.0  6.736e-05  6.698e-01  0.8822  7.72e-08
  235    0.235   1507.6   1263.0  6.749e-05  6.670e-01  0.8817  1.66e-07
  236    0.236   1507.4   1262.0  6.767e-05  6.650e-01  0.8813  2.20e-07
  237    0.237   1506.9   1261.0  6.793e-05  6.649e-01  0.8807  2.29e-07
  238    0.238   1506.1   1260.0  6.833e-05  6.674e-01  0.8800  1.79e-07
  239    0.239   1505.2   1259.0  6.883e-05  6.709e-01  0.8793  6.62e-08
  240    0.240   1504.2   1258.1  6.936e-05  6.744e-01  0.8784  5.05e-08
  241    0.241   1504.2   1257.1  6.976e-05  6.760e-01  0.8777  1.25e-07
  242    0.242   1504.3   1256.1  7.015e-05  6.780e-01  0.8770  1.20e-07
  243    0.243   1504.4   1255.1  7.064e-05  6.822e-01  0.8762  1.30e-07
  244    0.244   1504.3   1254.1  7.118e-05  6.871e-01  0.8754  2.02e-07
  245    0.245   1504.1   1253.1  7.165e-05  6.905e-01  0.8746  2.73e-07
  246    0.246   1503.6   1252.1  7.203e-05  6.921e-01  0.8738  2.75e-07
  247    0.247   1503.2   1251.1  7.240e-05  6.937e-01  0.8731  2.25e-07
  248    0.248   1502.7   1250.2  7.272e-05  6.944e-01  0.8725  1.90e-07
  249    0.249   1501.8   1249.2  7.303e-05  6.953e-01  0.8718  1.39e-07
  250    0.250   1500.6   1248.2  7.343e-05  6.980e-01  0.8711  1.10e-07
  251    0.251   1499.4   1247.2  7.399e-05  7.032e-01  0.8703  1.43e-07
  252    0.252   1498.2   1246.3  7.452e-05  7.080e-01  0.8695  2.38e-07
